timestamp,node,socket,core,temperature,frequency,cpu_usage,cpu_power,cpu_energy
2026-07-17 12:45:01,gpu45,0,5,26.0,1417.4682294072377,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,6,27.0,1417.6091755928014,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,7,25.0,1421.7755402842906,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,8,25.0,1415.4706849531667,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,9,25.0,1419.9486066203945,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,10,28.0,1415.426396753888,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,11,27.0,1417.2482057468312,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,12,26.0,1418.4492060893056,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,13,25.0,1412.6470713406586,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,14,25.0,1417.411989100591,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,15,27.0,1417.4807644983887,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,16,25.0,1417.7480466380757,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,17,26.0,1417.0086397074417,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,18,27.0,1418.4117058574284,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,19,24.0,1417.0062293081667,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,20,25.0,1422.577448819648,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,21,25.0,1419.5524092443193,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,22,27.0,1416.0632853747848,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,0,23,29.0,1418.780558236462,0.0,53.5638,103970.2607421875
2026-07-17 12:45:01,gpu45,1,0,31.0,1452.8983035401645,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,1,31.0,1457.0317233393282,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,2,30.0,1452.8254498130136,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,3,27.0,1454.2000305222143,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,4,29.0,1458.2838911286765,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,5,29.0,1456.054067512635,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,6,29.0,1452.6607851553897,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,7,28.0,1455.6504389214313,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,8,27.0,1451.5956957405788,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,9,27.0,1453.5904265709785,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,10,28.0,1452.3216577194783,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,11,29.0,1452.7306484210344,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,12,29.0,1450.6523070409312,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,13,28.0,1453.9585710162169,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,14,29.0,1452.8194018683641,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,15,30.0,1453.5502196201721,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,16,29.0,1453.4810808350646,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,17,26.0,1453.4379506261143,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,18,29.0,1455.0018931888853,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,19,26.0,1454.1048615852435,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,20,27.0,1453.2933844020001,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,21,28.0,1454.528773092477,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,22,29.0,1451.3881740048214,0.0,64.9889,242596.62841796875
2026-07-17 12:45:01,gpu45,1,23,30.0,1453.34538731083,0.0,64.9889,242596.62841796875
2026-07-17 12:50:02,gpu45,0,0,29.0,1431.3984429142458,0.02,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,1,28.0,1431.9772978285255,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,2,29.0,1428.3366508458591,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,3,26.0,1423.596465700103,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,4,26.0,1419.0450130283466,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,5,27.0,1417.4660333500956,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,6,28.0,1417.6069515574134,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,7,26.0,1421.7733517186705,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,8,26.0,1415.4684861993815,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,9,27.0,1419.946418893936,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,10,29.0,1415.4241253675493,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,11,28.0,1417.2455669793403,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,12,27.0,1418.4469887783423,0.0,53.2219,119981.20532226562
2026-07-17 12:50:02,gpu45,0,13,26.0,1412.644841820334,0.0,53.2219,119981.20532226562
